,Theatre,Region,Closed,Pipeline,Weighted,ClosedToTarget,Pacing
0,Americas,,10280910.85,100.0,16905496.46,82,0
1,Americas,Canada,1131174.78,0.0,1211042.95,74,0
2,Americas,LATAM,1483237.43,0.0,2206075.22,93,1
3,Americas,United States,7666498.64,100.0,13488378.28,82,0
4,APAC,,2232900.09,2947.6,2757393.62,46,0
5,APAC,Australia & SEA,1301281.63,2947.6,1774514.21,46,0
6,APAC,India,411224.66,0.0,455381.23,115,2
7,APAC,Japan,520393.8,0.0,527498.18,32,0
8,EMEA,,19035201.34,66436.94,21050210.71,94,2
9,EMEA,Central and Southern Europe,8751169.38,60976.14,9425178.31,120,2
10,EMEA,Eurasia,587985.75,500.0,758453.4,77,0
11,EMEA,"French, Netherlands & Nordics",5411533.72,0.0,5774568.96,102,2
12,EMEA,MENA,484643.23,4960.8,735467.47,37,0
13,EMEA,UK,2923369.98,0.0,3459295.03,85,1
14,EMEA,UK - Majors,876499.29,0.0,897247.55,30,0
15,Major Accounts,,2200363.3,32237.5,4339621.68,54,0
16,Other,,20651.24,1200.0,20951.24,0,2
17,Strategic Resellers,,3012596.4,1200.0,3808914.98,62,0
18,Total,,33770026.82,102922.04,45073673.71,79,0
